title,price,normalizedPrice,formattedAddress,lat,lng
"Нежилое в центре, Киевская 7",276000,1 200 ₽ в месяц за м²,"Иркутская обл., Иркутск, Киевская ул., 7",52.281836,104.287559
"Первый этаж, Отдельный вход, 59,1 м2",99999,1 692 ₽ в месяц за м²,"Иркутск, улица Грязнова, 3",52.28105444642425,104.28621232555318
Офис,68000,24 358 ₽ в год за м²,"Иркутск, Киевская улица, 7",52.281520634551896,104.28788807127728
"Свободного назначения, 168 м²",230000,1 369 ₽ в месяц за м²,"Иркутск, улица Карла Маркса, 39",52.287533,104.29126
"Карла Маркса, Свободного назначения, 250 м²",250000,1 000 ₽ в месяц за м²,"Иркутск, улица Карла Маркса, 41",52.287813582061844,104.29154715925876
"Универсальное помещение, 120 кв.м",50000,417 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Каландаришвили, 10",52.288249,104.291377
"Универсальное помещение, 160 кв.м",70000,438 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Каландаришвили, 10",52.288249,104.291377
"Свободного назначения, 72 м²",110000,1 528 ₽ в месяц за м²,"Иркутск, Пионерский переулок, 10",52.282933,104.290281
"Офисное помещение, 14.8 кв.м",17760,14 400 ₽ в год за м²,"Иркутская обл., Иркутск, б-р Гагарина, 40",52.280531,104.274884
"Офисное помещение, 43 кв.м",51600,14 400 ₽ в год за м²,"Иркутская обл., Иркутск, б-р Гагарина, 40",52.280531,104.274884
"Офисное помещение, 21.2 кв.м",25440,14 400 ₽ в год за м²,"Иркутская обл., Иркутск, б-р Гагарина, 40",52.280531,104.274884
Свободного назначения,50000,490 ₽ в месяц за м²,"Иркутск, улица Сурикова, 6",52.288526920636116,104.26996234373638
"Офис, 131 м²",131000,12 000 ₽ в год за м²,"Иркутск, Чудотворская улица, 2",52.29062271,104.2714615
"Офис, 22 м²",20000,10 909 ₽ в год за м²,"Иркутск, улица Карла Маркса, 41",52.288061,104.29185
"В центре, на Карла Маркса, 97 м²",80000,829 ₽ в месяц за м²,"Иркутск, улица Карла Маркса, 30",52.286685,104.292266
"Офисное помещение, 22.2 кв.м",1071,12 852 ₽ в год за м²,"Иркутская обл., Иркутск, Киевская ул., 9А",52.281159,104.288637
"Офис, 12.9 м²",12000,11 163 ₽ в год за м²,"Иркутск, улица Сурикова, 2",52.287786,104.269189
Офис,27500,12 000 ₽ в год за м²,"Иркутск, улица Лапина, 6",52.2797699,104.2852631
"Универсальное помещение, 54 кв.м",54000,1 000 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Фурье, 8",52.284255,104.292006
"Офисное помещение, 102 кв.м",81600,9 600 ₽ в год за м²,"Иркутская обл., Иркутск, ул. Фурье, 8",52.284255,104.292006
"Первая линия, 1й этаж, центр",88400,850 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Фурье, 5",52.284624,104.292213
"Свободного назначения, 54 м²",54000,1 000 ₽ в месяц за м²,"Иркутск, улица Урицкого, 11А",52.283974,104.291898
"Офис, 105.3 м²",94770,10 800 ₽ в год за м²,"Иркутск, улица Урицкого, 11А",52.283974,104.291898
"1 этаж,Центр (13,5; 24; 36м2)",1580,18 960 ₽ в год за м²,"Иркутск, улица Лапина, 8",52.279655,104.285448
"Офис, 170 м²",860,10 320 ₽ в год за м²,"Иркутск, улица Лапина, 8",52.279655,104.285448
"Помещение бара ""library"" сдам",216000,2 000 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Каландаришвили, 9",52.288359,104.292222
Офис,30000,14 400 ₽ в год за м²,"Иркутск, улица Декабрьских Событий, 6",52.29124069,104.2897186
"Офис, 22 м²",850,10 200 ₽ в год за м²,"Иркутск, Красноармейская улица, 7",52.279467,104.285017
Склад в самом центре Иркутска,300000,698 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Декабрьских Событий, 10",52.290981,104.290317
Свободного назначения,60000,498 ₽ в месяц за м²,"Иркутск, улица Халтурина, 15",52.29151556010589,104.28959985557685
Без оплаты комиссии,31200,9 600 ₽ в год за м²,"Иркутская обл., Иркутск, ул. Желябова, 27Б",52.2907,104.290685
"Г. Иркутск, Желябова ул., 27Б",21600,9 600 ₽ в год за м²,"Иркутская обл., Иркутск, ул. Желябова, 27Б",52.2907,104.290685
Свободного назначения,32000,1 860 ₽ в месяц за м²,"Иркутск, улица Карла Либкнехта, 2",52.288234037878595,104.2928828004703
"Офисное помещение, 11 кв.м",15000,16 364 ₽ в год за м²,"Иркутская обл., Иркутск, Киевская ул., 14",52.280459,104.288817
"Офисное помещение, 13 кв.м",16800,15 508 ₽ в год за м²,"Иркутская обл., Иркутск, Киевская ул., 14",52.280459,104.288817
"Общепит, 46 м²",1350,1 350 ₽ в месяц за м²,"Иркутск, улица Карла Маркса, 41/1",52.28872878903087,104.29275611576662
"Универсальное помещение, 108 кв.м",162000,1 500 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Урицкого, 15",52.283583,104.292608
Свободного назначения на главной торговой улице Ир,1850,1 850 ₽ в месяц за м²,"Иркутск, улица Урицкого, 15",52.283583,104.292608
Аренда актового зала,15000,266 ₽ в год за м²,"Иркутская обл., Иркутск, ул. Нижняя Набережная, 10",52.293223,104.287263
Офис торговля,800,9 600 ₽ в год за м²,"Иркутск, улица Дзержинского, 19",52.28076935,104.290062
106м2 Свободного назначения под офис шоурум,140000,1 321 ₽ в месяц за м²,"Иркутск, улица 5-й Армии, 2/1",52.28664017,104.2675323
"Свободного назначения, 162.2 м²",650,650 ₽ в месяц за м²,"Иркутск, улица Дзержинского, 11/4",52.2795482084365,104.28774974604252
"Свободного назначения, 653 м²",450000,689 ₽ в месяц за м²,"Иркутск, бульвар Гагарина, 74",52.28643353014798,104.26740107201917
"Офис, 40.5 м² в центре",32000,9 481 ₽ в год за м²,"Иркутск, улица Дзержинского, 1",52.27866742124069,104.28497550793456
"Торговая площадь, 75 м². 55 м². 37 м².22 м²",2000,2 000 ₽ в месяц за м²,"Иркутск, улица Ленина, 40",52.278354,104.283059
Офис,1200,14 400 ₽ в год за м²,"Иркутск, улица Дзержинского, 9",52.27923203,104.2871094
"Универсальное помещение, 139.5 кв.м",209250,1 500 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Ленина, 19",52.27852,104.284289
Офисное помещение,280000,24 348 ₽ в год за м²,"Иркутск, улица Ленина, 19",52.27851868,104.2842865
"Универсальное помещение, 162.2 кв.м",106000,654 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Дзержинского, 11",52.279473,104.287838
Офис,22700,16 712 ₽ в год за м²,"Иркутск, улица Нижняя Набережная, 12А",52.29310608,104.2887268
"Свободного назначения, 65, 170, 450 м²",2500,2 500 ₽ в месяц за м²,"Иркутск, улица Литвинова, 14",52.281809,104.292087
"Офис, 18 м²",850,567 ₽ в год за м²,"Иркутск, улица Дзержинского, 1",52.27847,104.285233
"Универсальное помещение, 74.6 кв.м",45000,603 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Дзержинского, 10",52.279236,104.288161
"Торговое помещение, 15.8 м²",14220,900 ₽ в месяц за м²,"Иркутск, улица Дзержинского, 24А",52.280991,104.291481
