title,price,address,district,lat,lon,Общая площадь,Аренда части,Этаж,Высота потолков,Отделка,Мощность электросети,Планировка,Тип аренды,Арендные каникулы,Минимальный срок аренды,Платежи включены,Тип здания,Парковка,url,Класс здания,Количество парковочных мест,Вход,Отопление,Отдельный вход,Удалённость от дороги,Количество мест в коворкинге,Тип места,Работа в выходные,Режим работы с,Режим работы до,Удобства включены в стоимость,Ключевые удобства,Доступное оборудование,Еда и напитки,Услуги,Другое,Круглосуточный режим
"Свободного назначения, 163.8 м²",700,"Иркутская обл., Иркутск, Украинская ул., 15",р-н Ленинский,52.350636,104.221964,163.8 м²,nan,1,4 м,чистовая,15 кВт,nan,прямая,есть,11 мес.,коммунальные,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_163.8_m_7342727447?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,nan,15,с улицы,центральное,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад, 3000 м²",1,"Иркутская обл., Иркутск, ул. Воровского, 19Б",р-н Ленинский,52.339071,104.24939,3000 м²,nan,1,nan,без отделки,nan,nan,прямая,nan,nan,nan,другой,"на улице, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_3000_m_7216046182?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,nan,nan,с улицы,автономное,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 39 м²,42 м 2",1200,"Иркутская обл., Иркутск, ул. Декабрьских Событий, 47Б",р-н Правобережный,52.288396668827815,104.29897950259608,39 м²,nan,4,nan,офисная,nan,кабинетная,субаренда,есть,1 мес.,nan,бизнес-центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_39_m42_m_2_4175538318?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 80 м²",205000,"Иркутская обл., Иркутск, ул. Красного Восстания, 22",р-н Октябрьский,52.274392,104.2857,80 м²,nan,1,nan,офисная,nan,nan,прямая,есть,nan,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_80_m_7304055325?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Сдам помещение свободного назначения, 34 м²",55000,"Иркутская обл., Иркутск, Волгоградская ул., 55",р-н Ленинский,52.344133,104.219386,34 м²,nan,1,nan,офисная,9 кВт,nan,прямая,nan,nan,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sdam_pomeschenie_svobodnogo_naznacheniya_34_m_7268385708?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Помещение на 1 линии, 300 м² ул. Литвинова",270000,"Иркутская обл., Иркутск, ул. Литвинова, 3",р-н Правобережный,52.283836,104.28967,300 м²,nan,1,nan,чистовая,nan,nan,прямая,nan,11 мес.,nan,административное здание,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/pomeschenie_na_1_linii_300_m_ul._litvinova_2492114444?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,nan,nan,с улицы,центральное,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Сдается уютное, светлое, теплое помещение",120000,"Иркутская обл., Иркутск, ул. Рабочего Штаба, 1/7",р-н Правобережный,52.299915,104.296201,140 м²,nan,1,nan,офисная,nan,кабинетная,прямая,nan,nan,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sdaetsya_uyutnoe_svetloe_teploe_pomeschenie_864745224?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговое место под остров, 5 м2",15000,"Иркутская обл., Иркутск, ул. Розы Люксембург, 263В",р-н Ленинский,52.35262299,104.1624527,5 м²,nan,цокольный,3.5 м,чистовая,5 кВт,nan,прямая,есть,11 мес.,nan,торговый центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovoe_mesto_pod_ostrov_5_m2_7291419949?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,nan,20,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговая площадь, 1300 м²",975000,"Иркутская обл., Иркутск, ул. Баррикад, 60Г",р-н Правобережный,52.29098094550924,104.33675999999998,1300 м²,nan,1,3.1 м,чистовая,nan,nan,прямая,есть,nan,nan,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_1300_m_2798290866?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,nan,nan,с улицы,автономное,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Сдам здание, 1687 м²",1687000,"Иркутская обл., Иркутск, ул. Сурнова, 16",р-н Правобережный,52.306953,104.293515,1687 м²,nan,nan,nan,без отделки,nan,nan,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sdam_zdanie_1687_m_7439539980?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговая площадь, 237 м²",237000,"Иркутская обл., Иркутск, Советская ул., 58/1",р-н Октябрьский,52.275583,104.305166,275 м²,возможна,1,nan,чистовая,nan,nan,прямая,есть,11 мес.,эксплуатационные,торговый центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_237_m_7417847185?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,nan,nan,с улицы,центральное,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 150 м²",150000,"Иркутская обл., Иркутск, Полярная ул., 95/1",р-н Ленинский,52.33281326,104.2620316,150 м²,возможна,1,5 м,без отделки,"15 кВт, можно увеличить",nan,прямая,есть,11 мес.,nan,другой,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_150_m_4993762755?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFcTFVMEpLT0RuaXRGNGxuIjt9LY33BT8AAAA,nan,5,со двора,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Склад,31000,"Иркутская обл., Иркутск, Трактовая ул., 9/13Е",р-н Ленинский,52.32203674,104.2412872,63 м²,nan,1,3 м,чистовая,15 кВт,nan,прямая,есть,6 мес.,"коммунальные, эксплуатационные",бизнес-центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_7319432571?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,B,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Помещение свободного назначения, 15 м²",10000,"Иркутская обл., Иркутск, Дальневосточная ул., 144",р-н Октябрьский,52.253407,104.319267,15 м²,nan,цокольный,nan,без отделки,nan,nan,прямая,есть,11 мес.,nan,жилой дом,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/pomeschenie_svobodnogo_naznacheniya_15_m_1846873854?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,центральное,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад, 380 м²",171000,"Иркутская обл., Иркутск, ул. Баррикад, 218",р-н Правобережный,52.292006,104.366737,380 м²,nan,1,6 м,без отделки,nan,nan,прямая,nan,11 мес.,nan,другой,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_380_m_4587134312?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,со двора,нет,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 653 м²",450000,"Иркутская обл., Иркутск, б-р Гагарина, 74",р-н Правобережный,52.28643353014798,104.26740107201915,653 м²,nan,цокольный,nan,чистовая,nan,nan,прямая,nan,11 мес.,nan,бизнес-центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_653_m_4593130949?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,центральное,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Свободного назначения,220000,"Иркутская обл., Иркутск, Вьюжная ул., 2",р-н Правобережный,52.30866916771314,104.33175184564476,400 м²,возможна,1,5 м,без отделки,30 кВт,nan,прямая,есть,nan,nan,другой,"на улице, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7338582995?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,20,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 52.6 м²",55000,"Иркутская обл., Иркутск, Горная ул., 24",р-н Октябрьский,52.281528,104.305067,52.6 м²,nan,3,nan,офисная,nan,открытая,субаренда,nan,nan,nan,бизнес-центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_52.6_m_7283452781?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговая, офисная, складская площадь от 1 кв.м",650,"Иркутская обл., Иркутск, ул. Рабочего Штаба, 29",р-н Правобережный,52.30705076297366,104.2968521869303,1700 м²,возможна,1,4 м,чистовая,nan,nan,прямая,есть,11 мес.,nan,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovaya_ofisnaya_skladskaya_ploschad_ot_1_kv.m_7384117385?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,150,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговая площадь, 130 м²",260000,"Иркутская обл., Иркутск, мкр-н Юбилейный, 19/1",р-н Свердловский,52.227534,104.304025,130 м²,nan,цокольный,4.3 м,офисная,10 кВт,nan,прямая,nan,11 мес.,nan,торговый центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_130_m_7435057896?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,250,с улицы,центральное,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 31 м²",27900,"Иркутская обл., Иркутск, ул. Писарева, 18",р-н Правобережный,52.294204,104.325702,31 м²,nan,3,2.8 м,офисная,nan,кабинетная,прямая,есть,11 мес.,коммунальные,административное здание,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_31_m_2875093066?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
