title,price,address,district,lat,lon,Общая площадь,Аренда части,Этаж,Высота потолков,Отделка,Мощность электросети,Планировка,Тип аренды,Арендные каникулы,Минимальный срок аренды,Платежи включены,Тип здания,Парковка,url,Класс здания,Количество парковочных мест,Вход,Отопление,Отдельный вход,Удалённость от дороги,Количество мест в коворкинге,Тип места,Работа в выходные,Режим работы с,Режим работы до,Удобства включены в стоимость,Ключевые удобства,Доступное оборудование,Еда и напитки,Услуги,Другое,Круглосуточный режим
"Помещение свободного назначения, 12.1 м²",15246,"Иркутская обл., Иркутск, Гравийная ул., 22",р-н Ленинский,52.361195,104.208748,17.4 м²,nan,цокольный,3.3 м,чистовая,nan,nan,прямая,есть,nan,"коммунальные, эксплуатационные",бизнес-центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/pomeschenie_svobodnogo_naznacheniya_12.1_m_1469353599?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговая площадь, 31.5 м²",1200,"Иркутская обл., Иркутский муниципальный округ, Байкальский тракт, 12-й километр, 12А",,52.246340344153005,104.4315648677978,31.5 м²,возможна,цокольный,4 м,чистовая,"15 кВт, можно увеличить",nan,прямая,есть,11 мес.,"коммунальные, эксплуатационные",торговый центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_31.5_m_7371820304?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,300,с улицы,автономное,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Свободного назначения,432000,"Иркутская обл., Иркутск, Волгоградская ул., 16",р-н Ленинский,52.34016037,104.2273026,540 м²,nan,2,nan,чистовая,nan,nan,прямая,есть,11 мес.,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7208739141?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Аренда под офис или шоурум, 63.2 м²",700,"Иркутская обл., Иркутский р-н, Молодёжное муниципальное образование, пос. Новая Разводная, ул. Строителей, 1А",,52.251562,104.40231,63.2 м²,nan,2,4.5 м,чистовая,"10 кВт, можно увеличить",nan,прямая,есть,11 мес.,nan,бизнес-центр,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/arenda_pod_ofis_ili_shourum_63.2_m_4452073393?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,90,с улицы,nan,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 200 м²",300000,"Иркутская обл., Иркутск, ул. Тимирязева, 32",р-н Правобережный,52.283302,104.298366,200 м²,nan,1,3.7 м,чистовая,"17 кВт, можно увеличить",nan,прямая,есть,11 мес.,nan,другой,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_200_m_4479045214?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,10,с улицы,центральное,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад, 16.4 м²",9900,"Иркутская обл., Иркутск, ул. Доржи Банзарова, 6",р-н Свердловский,52.25236511,104.2160568,16.4 м²,nan,1,5 м,офисная,100 кВт,nan,прямая,есть,nan,"коммунальные, эксплуатационные",административное здание,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_16.4_m_7260331019?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,100,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 170 м²",860,"Иркутская обл., Иркутск, ул. Лапина, 8",р-н Правобережный,52.279655,104.285448,170 м²,возможна,цокольный,3.5 м,офисная,nan,кабинетная,прямая,nan,3 мес.,"коммунальные, эксплуатационные",административное здание,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_170_m_756054146?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Сдам в аренду помещение свободного назначения, 288",600,"Иркутская обл., Иркутск, ул. Розы Люксембург, 263А",р-н Ленинский,52.353331,104.162918,288.8 м²,возможна,цокольный,2.5 м,офисная,"80 кВт, можно увеличить",nan,прямая,nan,nan,nan,торговый центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sdam_v_arendu_pomeschenie_svobodnogo_naznacheniya_288_4145419823?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,nan,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад, 456м",450,"Иркутская обл., Иркутск, ул. Баррикад, 60Д",р-н Правобережный,52.28990173,104.3367615,610 м²,возможна,1,6.6 м,без отделки,nan,nan,прямая,есть,nan,nan,другой,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_456m_4425669241?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 249.6 м²",174720,"Иркутская обл., Иркутск, ул. Рабочего Штаба, 1/6",р-н Правобережный,52.30060118208346,104.29608196560666,249.6 м²,nan,цокольный,3 м,офисная,9 кВт,nan,прямая,nan,11 мес.,nan,жилой дом,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_249.6_m_7311744176?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,центральное,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
