Название здания,Полный адрес,Цена,Цена за квадратный метр,Площадь (м²),Тип здания,lat,lon
Свободного назначения,"Иркутская обл., Иркутск, ул. Авиастроителей, 61",50000,416.6666666666667,120.0,жилой дом,52.357433,104.213913
Универсальное помещение,"Иркутская обл., Иркутск, Байкальская ул., 346/1",120000,1454.5454545454545,82.5,жилой дом,52.252918,104.369135
Универсальное помещение,"Иркутская обл., Иркутск, Волжская ул., 15",15000,1000.0,15.0,бизнес-центр,52.264632,104.314302
Свободного назначения,"Иркутская обл., Иркутск, 4-я Советская ул., 28",150000,1241.7218543046358,120.8,жилой дом,52.269802,104.303064
Универсальное помещение,"Иркутская обл., Иркутск, Волжская ул., 3",70000,700.0,100.0,торговый центр,52.264357,104.313197
Универсальное помещение,"Иркутская обл., Иркутск, ул. Розы Люксембург, 182",65000,464.2857142857143,140.0,другой,52.355597,104.161903
Офис,"Иркутская обл., Иркутск, Киевская ул., 9А",1071,48.24324324324324,22.2,бизнес-центр,52.281159,104.288637
Торговая площадь,"Иркутская обл., Иркутск, мкр-н Первомайский, ул. Вампилова, 30",72000,356.43564356435644,202.0,торговый центр,52.25369181821606,104.23098418518065
Офис,"Иркутская обл., Иркутск, Красноярская ул., 11А",800,32.0,25.0,торговый центр,52.282707,104.330454
Офис,"Иркутская обл., Иркутск, Полярная ул., 27",20000,740.7407407407408,27.0,другой,52.321108,104.264527
Универсальное помещение,"Иркутская обл., Иркутск, ул. Трилиссера, 89",76800,800.0,96.0,другой,52.275583,104.316234
Свободного назначения,"Иркутская обл., Иркутск, ул. Горького, 42",21700,700.0,31.0,торговый центр,52.28540039,104.2887344
Офис,"Иркутская обл., Иркутск, ул. Чехова, 19",29218,1051.0071942446043,27.8,бизнес-центр,52.28419108342801,104.29498454232788
Свободного назначения,"Иркутская обл., Иркутск, ул. Баррикад, 32А",1068,29.52723251313243,36.17,административное здание,52.292557,104.315587
Другое,"Иркутская обл., Иркутск, ул. Желябова, 27Б",29250,750.0,39.0,административное здание,52.2907,104.290685
Другое,"Иркутская обл., Иркутск, Советская ул., 3Б",90000,900.0,100.0,бизнес-центр,52.277252,104.30346
Свободного назначения,"Иркутская обл., Иркутск, ул. Юрия Левитанского, 12",1200,15.584415584415584,77.0,жилой дом,52.251369,104.333742
Офис,"Иркутская обл., Иркутск, ул. Шевцова, 1",33600,500.0,67.2,административное здание,52.306424,104.293839
Универсальное помещение,"Иркутская обл., Иркутск, Академическая ул., 74",80000,938.9671361502348,85.2,другой,52.231274,104.303549
Здание,"Иркутская обл., Иркутск, пр-т Маршала Жукова, 36А",1530,27.818181818181817,55.0,другой,52.249704,104.344683
Другое,"Иркутская обл., Иркутск, ул. Свердлова, 36",1000,25.0,40.0,торговый центр,52.28636,104.288269
Здание,"Иркутская обл., Иркутск, ул. Красный Путь, 70А",25000,312.5,80.0,другой,52.344309,104.213637
Свободного назначения,"Иркутская обл., Иркутск, ул. Тимирязева, 30",7095,645.0,11.0,другой,52.283137,104.298258
Склад,"Иркутская обл., Иркутск, ул. Декабрьских Событий, 10",300000,697.6744186046511,430.0,другой,52.290981,104.290317
Универсальное помещение,"Иркутская обл., Иркутск, пр-т Маршала Жукова, 11/5",390000,951.219512195122,410.0,жилой дом,52.249472,104.357844
Торговая площадь,"Иркутская обл., Иркутск, Байкальская ул., 9",1457,97.13333333333334,15.0,административное здание,52.280459,104.298141
Универсальное помещение,"Иркутская обл., Иркутск, ул. Иосифа Уткина, 23",115000,877.8625954198474,131.0,жилой дом,52.28745,104.310889
Другое,"Иркутская обл., Иркутск, Полярная ул., 117",375,1.25,300.0,другой,52.343731,104.26326
Офис,"Иркутская обл., Иркутск, Волжская ул., 15",25000,925.925925925926,27.0,торговый центр,52.264632,104.314302
